
> escuela-global-frontend@0.1.0 dev
> next dev

▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.20:3000
- Environments: .env.local
✓ Ready in 1527ms

 GET /cursos 200 in 1246ms (next.js: 453ms, application-code: 794ms)
 GET /cursos 200 in 156ms (next.js: 10ms, application-code: 145ms)
 GET /auth/login 200 in 236ms (next.js: 63ms, proxy.ts: 110ms, application-code: 63ms)
 GET /auth/forgot-password 200 in 117ms (next.js: 72ms, application-code: 45ms)
 GET /auth/login 200 in 73ms (next.js: 13ms, proxy.ts: 11ms, application-code: 49ms)
 GET /auth/forgot-password 200 in 52ms (next.js: 9ms, application-code: 43ms)
 GET /auth/login 200 in 58ms (next.js: 8ms, proxy.ts: 9ms, application-code: 42ms)
 GET /auth/forgot-password 200 in 49ms (next.js: 8ms, application-code: 41ms)
 GET /auth/forgot-password 200 in 283ms (next.js: 10ms, application-code: 273ms)
 GET /auth/login 200 in 64ms (next.js: 11ms, proxy.ts: 9ms, application-code: 44ms)
 GET /auth/register 200 in 132ms (next.js: 85ms, application-code: 47ms)
 GET /dashboard 200 in 148ms (next.js: 91ms, proxy.ts: 11ms, application-code: 46ms)
 GET /perfil 200 in 130ms (next.js: 80ms, proxy.ts: 7ms, application-code: 43ms)
✓ Compiled in 3.4s
✓ Compiled in 657ms
 GET /auth/login?redirect=%2Fperfil 200 in 357ms (next.js: 235ms, proxy.ts: 13ms, application-code: 109ms)
✓ Compiled in 437ms
 GET /auth/login?redirect=%2Fperfil 200 in 290ms (next.js: 165ms, proxy.ts: 38ms, application-code: 86ms)
 GET /auth/login?redirect=%2Fperfil 200 in 294ms (next.js: 158ms, proxy.ts: 42ms, application-code: 95ms)
 GET /dashboard 200 in 98ms (next.js: 38ms, proxy.ts: 10ms, application-code: 49ms)
 GET /perfil 200 in 88ms (next.js: 35ms, proxy.ts: 9ms, application-code: 44ms)
 GET /perfil 200 in 295ms (next.js: 164ms, proxy.ts: 36ms, application-code: 94ms)
 GET /perfil 200 in 266ms (next.js: 145ms, proxy.ts: 32ms, application-code: 90ms)
 GET /perfil 200 in 272ms (next.js: 157ms, proxy.ts: 37ms, application-code: 78ms)
 GET /perfil 200 in 280ms (next.js: 155ms, proxy.ts: 35ms, application-code: 90ms)
 GET /perfil 200 in 260ms (next.js: 148ms, proxy.ts: 32ms, application-code: 80ms)
 GET /perfil 200 in 277ms (next.js: 164ms, proxy.ts: 34ms, application-code: 80ms)
✓ Compiled in 3.9s
 GET /perfil 200 in 3.9s (next.js: 3.5s, proxy.ts: 44ms, application-code: 272ms)
 GET /perfil 200 in 323ms (next.js: 21ms, proxy.ts: 42ms, application-code: 260ms)
 GET /perfil 200 in 354ms (next.js: 27ms, proxy.ts: 25ms, application-code: 303ms)
 GET /perfil 200 in 353ms (next.js: 74ms, proxy.ts: 27ms, application-code: 252ms)
 GET /perfil 200 in 351ms (next.js: 118ms, proxy.ts: 29ms, application-code: 204ms)
 GET /perfil 200 in 339ms (next.js: 15ms, proxy.ts: 160ms, application-code: 164ms)
 GET /perfil 200 in 318ms (next.js: 22ms, proxy.ts: 49ms, application-code: 248ms)
 GET /perfil 200 in 274ms (next.js: 8ms, proxy.ts: 48ms, application-code: 217ms)
 GET /perfil 200 in 306ms (next.js: 19ms, proxy.ts: 16ms, application-code: 271ms)
 GET /perfil 200 in 351ms (next.js: 60ms, proxy.ts: 17ms, application-code: 274ms)
 GET /perfil 200 in 351ms (next.js: 103ms, proxy.ts: 19ms, application-code: 229ms)
 GET /perfil 200 in 310ms (next.js: 16ms, proxy.ts: 96ms, application-code: 198ms)
 GET /perfil 200 in 346ms (next.js: 55ms, proxy.ts: 10ms, application-code: 281ms)
 GET /perfil 200 in 312ms (next.js: 11ms, proxy.ts: 83ms, application-code: 218ms)
 GET /perfil 200 in 278ms (next.js: 16ms, proxy.ts: 17ms, application-code: 245ms)
 GET /perfil 200 in 274ms (next.js: 58ms, proxy.ts: 16ms, application-code: 200ms)
 GET /perfil 200 in 325ms (next.js: 98ms, proxy.ts: 16ms, application-code: 211ms)
 GET /perfil 200 in 245ms (next.js: 16ms, proxy.ts: 57ms, application-code: 172ms)
 GET /perfil 200 in 279ms (next.js: 57ms, proxy.ts: 13ms, application-code: 209ms)
 GET /perfil 200 in 281ms (next.js: 13ms, proxy.ts: 49ms, application-code: 218ms)
 GET /perfil 200 in 281ms (next.js: 58ms, proxy.ts: 15ms, application-code: 208ms)
 GET /perfil 200 in 286ms (next.js: 20ms, proxy.ts: 16ms, application-code: 250ms)
 GET /perfil 200 in 330ms (next.js: 95ms, proxy.ts: 13ms, application-code: 221ms)
 GET /perfil 200 in 250ms (next.js: 15ms, proxy.ts: 57ms, application-code: 177ms)
 GET /perfil 200 in 287ms (next.js: 60ms, proxy.ts: 11ms, application-code: 216ms)
 GET /perfil 200 in 285ms (next.js: 14ms, proxy.ts: 54ms, application-code: 218ms)
 GET /perfil 200 in 269ms (next.js: 17ms, proxy.ts: 14ms, application-code: 238ms)
 GET /perfil 200 in 272ms (next.js: 57ms, proxy.ts: 16ms, application-code: 199ms)
 GET /perfil 200 in 313ms (next.js: 53ms, proxy.ts: 54ms, application-code: 205ms)
 GET /perfil 200 in 275ms (next.js: 13ms, proxy.ts: 58ms, application-code: 204ms)
 GET /perfil 200 in 275ms (next.js: 54ms, proxy.ts: 16ms, application-code: 205ms)
 GET /perfil 200 in 273ms (next.js: 14ms, proxy.ts: 46ms, application-code: 213ms)
 GET /perfil 200 in 274ms (next.js: 16ms, proxy.ts: 21ms, application-code: 238ms)
 GET /perfil 200 in 266ms (next.js: 55ms, proxy.ts: 15ms, application-code: 196ms)
 GET /perfil 200 in 314ms (next.js: 57ms, proxy.ts: 50ms, application-code: 208ms)
 GET /perfil 200 in 268ms (next.js: 16ms, proxy.ts: 56ms, application-code: 196ms)
 GET /perfil 200 in 263ms (next.js: 54ms, proxy.ts: 11ms, application-code: 198ms)
 GET /perfil 200 in 266ms (next.js: 14ms, proxy.ts: 46ms, application-code: 206ms)
 GET /perfil 200 in 292ms (next.js: 14ms, proxy.ts: 19ms, application-code: 260ms)
